,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Chris Kreider,NYR,LW,30,7,8,15,1,34,58,1,3,2,0,0,55,24
Phillip Danault,MON,C,32,7,18,25,9,8,47,0,0,2,0,0,62,15
Mats Zuccarello,MIN,RW,27,7,10,17,-7,10,40,1,2,3,0,0,6,16
Jake Virtanen,VAN,LW,31,7,8,15,0,12,55,3,0,0,0,0,53,12
Jake DeBrusk,BOS,LW,27,7,7,14,2,8,59,0,2,1,0,0,12,6
Oliver Bjorkstrand,CLS,RW,30,7,9,16,-3,10,100,2,2,3,0,0,28,12
Tyler Toffoli,LA,RW,31,7,8,15,-7,12,78,1,1,0,0,0,16,3
Gustav Nyquist,CLS,RW,30,7,12,19,-5,10,69,2,2,3,0,0,15,9
Tyler Johnson,TB,C,27,7,7,14,0,2,55,1,0,3,0,0,33,5
Dustin Brown,LA,RW,32,7,10,17,2,12,80,0,0,2,0,0,74,6
Mika Zibanejad,NYR,C,17,7,10,17,3,4,48,1,3,3,2,2,23,14
Radek Faksa,DAL,C,32,7,6,13,-3,14,56,2,1,0,0,0,35,19
Ivan Provorov,PHI,D,31,7,12,19,8,16,67,3,4,6,0,0,33,50
Vladislav Namestnikov,OTT,C,29,7,9,16,-1,25,52,2,1,2,1,2,44,24
Victor Hedman,TB,D,27,7,20,27,-1,17,64,1,3,12,0,0,33,40
Joe Pavelski,DAL,RW,32,7,7,14,0,16,64,2,3,2,0,0,23,25
Robby Fabbri,DET,LW,24,7,6,13,-17,10,37,1,4,1,0,0,27,3
Roman Josi,NSH,D,29,7,19,26,11,23,100,0,3,8,0,0,22,49
Phil Kessel,ARI,RW,33,7,12,19,-18,10,80,0,6,5,0,0,8,16
Alex Pietrangelo,STL,D,32,7,15,22,0,6,95,2,3,8,0,1,16,37
Derick Brassard,NYI,C,29,7,10,17,2,8,49,1,1,3,0,0,51,13
Teuvo Teravainen,CAR,C,31,7,24,31,10,6,88,0,2,12,1,1,10,12
Jonathan Drouin,MON,C,19,7,8,15,4,6,44,1,1,3,0,0,22,4
Johnny Gaudreau,CGY,LW,33,7,17,24,-9,10,96,0,3,6,0,0,1,3
Jakob Chychrun,ARI,D,33,7,5,12,0,24,78,1,2,1,0,0,40,52
Miro Heiskanen,DAL,D,32,7,14,21,9,6,81,0,0,4,0,0,9,46
Anthony Cirelli,TB,C,28,6,15,21,4,14,47,0,1,2,0,1,36,18
Max Domi,MON,C,32,6,14,20,3,14,80,1,1,7,0,0,13,6
Jujhar Khaira,EDM,C,31,6,0,6,-12,12,37,1,0,0,0,0,63,11
Jack Roslovic,WPG,RW,31,6,6,12,9,6,55,0,1,1,0,0,29,6
Cam Fowler,ANH,D,31,6,10,16,8,4,58,2,1,3,0,0,15,34
Denis Gurianov,DAL,RW,27,6,4,10,3,9,65,2,2,2,0,0,26,8
Ryan Nugent-Hopkins,EDM,LW,27,6,11,17,-6,14,65,2,4,6,0,0,18,19
Patrick Marleau,SJ,LW,29,6,5,11,-4,8,51,1,1,0,0,0,29,11
Viktor Arvidsson,NSH,LW,22,6,9,15,1,4,50,0,2,2,0,0,13,8
Ryan Strome,NYR,C,30,6,20,26,8,22,45,2,1,7,0,0,17,13
Boone Jenner,CLS,LW,30,6,3,9,-14,22,65,0,1,1,0,0,50,30
Ryan Dzingel,CAR,C,31,6,12,18,1,17,47,1,3,2,0,0,14,12
Jonathan Toews,CHI,C,31,6,12,18,-7,26,80,2,1,2,0,0,24,17
Ryan O'Reilly,STL,C,32,6,21,27,-5,4,56,2,2,9,0,0,13,16
Mathieu Perreault,WPG,C,31,6,6,12,-2,4,51,0,1,0,0,0,39,14
Adam Gaudette,VAN,C,21,6,7,13,0,6,27,0,3,3,0,0,13,10
