,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Beck Malenstyn,WAS,C,3,0,0,0,-1,0,4,0,0,0,0,0,5,1
Kevin Rooney,NJ,C,19,0,1,1,0,11,18,0,0,0,0,0,21,9
Robert Hagg,PHI,D,18,0,3,3,-4,10,14,0,0,0,0,0,55,32
Hampus Lindholm,ANH,D,23,0,12,12,0,20,37,0,0,2,0,2,9,30
Alex Biega,DET,D,14,0,0,0,-3,2,14,0,0,0,0,0,28,12
Beck Malenstyn,FA,C,3,0,0,0,-1,0,4,0,0,0,0,0,5,1
Conor Timmins,COL,D,2,0,0,0,2,0,1,0,0,0,0,0,0,0
Jonathan Davidsson,OTT,RW,5,0,1,1,1,0,3,0,0,0,0,0,4,1
Riley Stillman,FLA,D,3,0,0,0,-2,5,7,0,0,0,0,0,2,4
Tim Gettinger,NYR,LW,2,0,1,1,1,0,3,0,0,0,0,0,5,1
Kole Sherwood,CLS,C,3,0,0,0,0,2,6,0,0,0,0,0,10,1
Nick Jensen,WAS,D,33,0,2,2,-9,0,28,0,0,1,0,0,25,35
Anthony Richard,NSH,C,1,0,0,0,-1,0,2,0,0,0,0,0,0,0
Paul LaDue,LA,D,2,0,1,1,0,0,2,0,0,0,0,0,2,3
Tobias Bjornfot,LA,D,3,0,0,0,-4,0,0,0,0,0,0,0,0,0
Otto Leskinen,MON,D,4,0,0,0,0,0,1,0,0,0,0,0,12,1
Joona Luoto,WPG,RW,14,0,0,0,-3,2,6,0,0,0,0,0,7,8
Scott Harrington,CLS,D,8,0,1,1,-6,4,8,0,0,0,0,0,10,11
Logan Shaw,WPG,RW,17,0,0,0,-4,0,8,0,0,0,0,0,11,9
Jordie Benn,VAN,D,31,0,6,6,-3,11,44,0,0,0,0,0,26,43
Brenden Dillon,SJ,D,33,0,7,7,-9,48,34,0,0,0,0,1,103,30
Sam Carrick,ANH,C,1,0,1,1,1,0,3,0,0,0,0,0,1,0
Gabriel Dumont,MIN,C,3,0,0,0,-1,0,3,0,0,0,0,0,9,2
Leo Komarov,NYI,LW,15,0,4,4,2,2,12,0,0,0,0,1,38,6
Steve Kampfer,BOS,D,4,0,0,0,2,2,4,0,0,0,0,0,6,4
Jamie Oleksiak,DAL,D,32,0,5,5,-2,19,32,0,0,0,0,0,49,30
Andrej Sekera,DAL,D,28,0,3,3,6,10,33,0,0,0,0,0,17,45
Peter Cehlarik,BOS,C,3,0,1,1,-1,2,0,0,0,0,0,0,2,2
Mirco Mueller,NJ,D,17,0,0,0,-10,11,7,0,0,0,0,0,14,23
Samuel Morin,PHI,D,1,0,0,0,-1,0,0,0,0,0,0,0,2,0
Jordan Oesterle,ARI,D,25,0,5,5,1,8,30,0,0,1,0,0,23,43
Brendan Perlini,DET,LW,19,0,1,1,-11,6,28,0,0,0,0,0,11,5
Pontus Aberg,TOR,LW,2,0,1,1,1,0,1,0,0,0,0,0,0,1
Derrick Pouliot,STL,D,2,0,0,0,-1,2,1,0,0,0,0,0,2,1
John Hayden,NJ,C,11,0,1,1,-1,2,8,0,0,0,0,0,22,6
Trevor Carrick,SJ,D,3,0,0,0,0,5,1,0,0,0,0,0,1,0
Andrew Agozzino,PIT,LW,1,0,0,0,-1,0,0,0,0,0,0,0,1,0
Joe Thornton,SJ,C,33,0,10,10,-9,22,31,0,0,1,0,0,12,11
Frans Nielsen,DET,C,28,0,1,1,-7,4,40,0,0,0,0,1,19,15
Brian Gibbons,CAR,C,13,0,0,0,-6,2,9,0,0,0,0,0,5,9
Yannick Weber,NSH,D,16,0,1,1,1,4,11,0,0,0,0,0,12,9
Kevin Connauton,COL,D,1,0,0,0,0,0,2,0,0,0,0,0,3,1
Lean Bergmann,SJ,LW,8,0,1,1,-5,2,9,0,0,0,0,0,10,4
Jonny Brodzinski,SJ,RW,3,0,1,1,0,0,5,0,0,0,0,0,3,0
Connor Bunnaman,PHI,C,4,0,0,0,0,0,4,0,0,0,0,0,5,1
C.J. Suess,WPG,LW,1,0,0,0,-1,0,0,0,0,0,0,0,1,0
Lukas Radil,SJ,LW,14,0,0,0,-3,8,12,0,0,0,0,0,16,2
Oliver Wahlstrom,NYI,RW,9,0,0,0,-2,4,9,0,0,0,0,0,10,4
Rasmus Sandin,TOR,D,6,0,2,2,0,2,5,0,0,0,0,0,5,3
Juuso Riikola,PIT,D,12,0,1,1,0,2,17,0,0,0,0,0,27,8
Christian Jaros,OTT,D,1,0,0,0,-1,4,0,0,0,0,0,0,2,0
Andrew Peeke,CLS,D,3,0,0,0,3,0,2,0,0,0,0,0,6,2
Jordan Kyrou,STL,RW,1,0,0,0,0,0,2,0,0,0,0,0,2,0
Libor Hajek,NYR,D,27,0,5,5,-2,12,22,0,0,0,0,0,23,42
David Kase,PHI,RW,1,0,0,0,0,0,2,0,0,0,0,0,2,0
Evgeny Svechnikov,DET,LW,4,0,0,0,-1,2,7,0,0,0,0,0,5,1
Alec Martinez,LA,D,24,0,5,5,-1,10,36,0,0,1,0,0,17,56
Mark Letestu,WPG,C,7,0,0,0,0,0,5,0,0,0,0,0,3,5
David Savard,CLS,D,30,0,4,4,-4,6,33,0,0,0,0,0,57,60
Trevor Daley,DET,D,12,0,0,0,-5,6,10,0,0,0,0,0,3,12
Justin Abdelkader,DET,LW,17,0,3,3,0,4,15,0,0,0,0,0,30,11
Roman Polak,DAL,D,13,0,2,2,2,2,9,0,0,0,0,0,31,38
Slater Koekkoek,CHI,D,14,0,3,3,-4,10,11,0,0,0,0,0,26,15
Mike Reilly,MON,D,11,0,4,4,1,4,18,0,0,0,0,0,11,11
Nathan Beaulieu,WPG,D,12,0,1,1,1,12,8,0,0,0,0,0,21,11
Brett Kulak,MON,D,21,0,2,2,-6,8,28,0,0,0,0,0,23,27
Brandon Davidson,CGY,D,3,0,0,0,-3,0,8,0,0,0,0,0,4,4
Riley Barber,MON,RW,2,0,0,0,0,0,3,0,0,0,0,0,7,0
Charles Hudon,MON,LW,9,0,1,1,-4,0,14,0,0,0,0,0,15,1
Dylan DeMelo,OTT,D,32,0,6,6,7,21,42,0,0,0,0,0,56,43
Matthew Peca,MON,C,4,0,0,0,-1,0,4,0,0,0,0,0,2,1
Jake Bischoff,VGK,D,4,0,0,0,-2,4,6,0,0,0,0,0,8,8
Lias Andersson,NYR,LW,17,0,1,1,-8,4,13,0,0,0,0,0,20,8
Urho Vaakanainen,BOS,D,5,0,0,0,2,0,2,0,0,0,0,0,8,3
Jan Rutta,TB,D,12,0,3,3,-1,6,15,0,0,0,0,0,8,10
Dennis Gilbert,CHI,D,7,0,0,0,-7,24,6,0,0,0,0,0,36,9
Ashton Sautner,VAN,D,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Carl Grundstrom,LA,LW,9,0,4,4,2,4,14,0,0,0,0,0,20,3
Jakob Lilja,CLS,LW,10,0,2,2,-1,0,11,0,0,0,0,0,8,8
Antti Suomela,SJ,C,5,0,1,1,1,0,2,0,0,0,0,0,5,3
Kevin Gravel,TOR,D,3,0,0,0,0,0,2,0,0,0,0,0,2,3
Joel Hanley,DAL,D,8,0,2,2,0,6,4,0,0,0,0,0,3,8
Trevor van Riemsdyk,CAR,D,18,0,3,3,-5,6,22,0,0,0,0,0,8,12
Aleksi Saarela,FLA,C,3,0,0,0,0,0,3,0,0,0,0,0,0,1
Cameron Hughes,BOS,C,1,0,0,0,-1,0,0,0,0,0,0,0,1,2
Jean-Christophe Beaudin,OTT,C,15,0,1,1,-6,7,12,0,0,0,0,0,27,6
Connor Carrick,NJ,D,4,0,1,1,-3,2,4,0,0,0,0,0,4,6
Steve Santini,NSH,D,2,0,0,0,1,2,1,0,0,0,0,0,3,0
Jordan Szwarz,OTT,RW,3,0,0,0,0,2,2,0,0,0,0,0,6,1
Danny DeKeyser,DET,D,8,0,4,4,0,4,12,0,0,0,0,0,6,18
Zach Trotman,PIT,D,5,0,0,0,1,4,6,0,0,0,0,0,14,7
Anthony Bitetto,WPG,D,21,0,2,2,0,13,28,0,0,0,0,0,61,23
Korbinian Holzer,ANH,D,27,0,1,1,-2,27,25,0,0,0,0,1,57,58
Martin Marincin,TOR,D,7,0,0,0,-1,4,6,0,0,0,0,0,6,8
Tom Kuhnhackl,NYI,RW,6,0,0,0,-1,0,8,0,0,0,0,0,4,5
Brad Richardson,ARI,C,26,0,2,2,5,8,29,0,0,0,0,0,32,22
Andy Greene,NJ,D,26,0,4,4,-3,8,23,0,0,0,0,0,14,60
Dan Hamhuis,NSH,D,27,0,3,3,3,19,19,0,0,0,0,0,39,22
Danil Yurtaikin,SJ,LW,4,0,0,0,-1,0,2,0,0,0,0,0,3,2
Mathieu Olivier,NSH,RW,8,0,1,1,1,4,6,0,0,0,0,0,17,1
Calle Rosen,COL,D,6,0,2,2,1,2,7,0,0,0,0,0,2,4
Givani Smith,DET,LW,5,0,0,0,0,5,5,0,0,0,0,0,9,0
Julien Gauthier,CAR,RW,3,0,0,0,1,4,0,0,0,0,0,0,2,0
Isac Lundestrom,ANH,LW,3,0,0,0,2,0,3,0,0,0,0,0,1,1
Erik Brannstrom,OTT,D,23,0,2,2,-7,12,24,0,0,1,0,0,9,22
Brennan Menell,MIN,D,1,0,0,0,2,0,0,0,0,0,0,0,0,1
Karson Kuhlman,BOS,C,8,0,0,0,-2,2,13,0,0,0,0,0,9,3
Filip Zadina,DET,LW,7,0,3,3,-2,0,9,0,0,2,0,0,3,3
Joel Persson,EDM,D,13,0,2,2,-1,2,17,0,0,0,0,0,6,10
Ilya Lyubushkin,ARI,D,20,0,1,1,1,12,20,0,0,0,0,0,57,20
Sheldon Dries,COL,C,1,0,0,0,-1,0,0,0,0,0,0,0,7,2
Rhett Gardner,DAL,C,8,0,0,0,0,2,8,0,0,0,0,0,8,2
Drake Batherson,OTT,RW,2,0,0,0,-4,2,0,0,0,0,0,0,1,2
Eetu Luostarinen,CAR,LW,8,0,1,1,-2,0,9,0,0,0,0,0,9,2
Ryan Poehling,MON,C,5,0,0,0,0,0,3,0,0,0,0,0,6,3
Trent Frederic,BOS,C,2,0,0,0,-1,0,1,0,0,0,0,0,8,0
Tage Thompson,BUF,RW,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Dryden Hunt,FLA,LW,20,0,4,4,0,24,32,0,0,0,0,0,35,6
Nick Seeler,MIN,D,6,0,0,0,-6,8,4,0,0,0,0,0,5,9
Tim Heed,SJ,D,19,0,1,1,-2,0,23,0,0,0,0,0,12,15
Zachary Senyshyn,BOS,RW,4,0,2,2,1,0,1,0,0,0,0,0,2,1
Brendan Gaunce,BOS,C,1,0,1,1,1,2,0,0,0,0,0,0,2,0
Gustav Olofsson,MON,D,3,0,0,0,-4,2,2,0,0,0,0,0,1,6
Carl Dahlstrom,WPG,D,12,0,0,0,-3,4,8,0,0,0,0,0,5,12
Robert Bortuzzo,STL,D,14,0,1,1,6,6,7,0,0,0,0,0,22,16
Dalton Prout,SJ,D,2,0,0,0,0,7,2,0,0,0,0,0,3,3
T.J. Tynan,COL,C,14,0,1,1,-1,2,7,0,0,0,0,0,7,3
Tyler Lewington,WAS,D,6,0,0,0,-2,17,2,0,0,0,0,0,13,7
Austin Poganski,STL,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Manson,ANH,D,12,0,3,3,1,15,15,0,0,0,0,0,29,16
Adam Erne,DET,LW,24,0,0,0,-11,20,28,0,0,0,0,0,61,12
John Moore,BOS,D,3,0,1,1,-1,5,7,0,0,0,0,0,7,3
Matt Irwin,NSH,D,13,0,1,1,-6,7,15,0,0,0,0,0,20,13
Sven Baertschi,VAN,LW,6,0,2,2,-2,4,7,0,0,2,0,0,5,0
Michael Sgarbossa,WAS,LW,2,0,0,0,0,0,1,0,0,0,0,0,3,0
Chris Stewart,PHI,RW,10,0,1,1,-3,12,3,0,0,0,0,0,22,4
Jonathan Ericsson,DET,D,7,0,0,0,-4,0,5,0,0,0,0,0,11,3
Colin Wilson,COL,LW,9,0,4,4,6,0,12,0,0,0,0,0,8,2
Aaron Ness,ARI,D,13,0,1,1,5,0,7,0,0,0,0,0,11,10
Mark Barberio,COL,D,11,0,1,1,7,10,16,0,0,0,0,0,6,12
Noah Dobson,NYI,D,8,0,2,2,3,2,7,0,0,0,0,0,9,5
Jack Studnicka,BOS,C,2,0,1,1,2,2,3,0,0,0,0,0,2,0
Otto Koivula,NYI,C,6,0,0,0,0,2,2,0,0,0,0,0,7,3
Christian Folin,MON,D,5,0,1,1,2,2,2,0,0,0,0,0,14,9
Valentin Zykov,VGK,RW,8,0,2,2,0,4,9,0,0,0,0,0,15,3
Nicolas Petan,TOR,C,15,0,3,3,-3,4,19,0,0,0,0,0,7,4
Jean-Sebastien Dea,BUF,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Oliver Kylington,CGY,D,24,0,3,3,-2,10,20,0,0,0,0,0,15,18
Charlie McAvoy,BOS,D,32,0,10,10,11,19,38,0,0,1,0,0,66,64
John Gilmour,BUF,D,4,0,0,0,-2,0,5,0,0,0,0,0,3,3
Matt Luff,LA,RW,8,0,2,2,1,2,11,0,0,0,0,0,7,2
Patrick Russell,EDM,RW,27,0,4,4,-2,6,32,0,0,0,0,0,33,17
Matt Tennyson,NJ,D,19,0,3,3,-1,6,12,0,0,0,0,0,27,17
Paul Carey,BOS,RW,1,0,0,0,-1,0,0,0,0,0,0,0,0,1
Radko Gudas,WAS,D,33,0,7,7,12,30,39,0,0,0,0,0,94,40
Jayson Megna,COL,LW,8,0,0,0,-1,2,4,0,0,0,0,0,10,5
Cory Conacher,TB,LW,4,0,1,1,-2,4,5,0,0,0,0,0,3,1
Zach Bogosian,BUF,D,10,0,3,3,2,4,9,0,0,0,0,0,11,12
Kris Russell,EDM,D,32,0,4,4,2,10,26,0,0,0,0,0,44,70
Dylan McIlrath,DET,D,16,0,0,0,-4,23,14,0,0,0,0,0,48,12
